trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.1, 'e': 0.9999762476632847}",25,0,-89.03151944122187,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
108,False,"{'a': 0.1, 'e': 0.9999751168}",20,0,-103.4296761815826,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
109,False,"{'a': 0.1, 'e': 0.9999739432682196}",35,0,-165.17746649810965,"{0: 15, 1: 9, 2: 10, 3: 0, 4: 1}",0
110,False,"{'a': 0.1, 'e': 0.9999727258717337}",30,0,-50.34581858785732,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
111,False,"{'a': 0.1, 'e': 0.999971463392181}",20,0,-114.00569818472587,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
112,False,"{'a': 0.1, 'e': 0.9999701545888465}",35,0,-241.31571181196642,"{0: 18, 1: 5, 2: 7, 3: 2, 4: 3}",0
113,False,"{'a': 0.1, 'e': 0.9999687981984572}",25,0,-115.09863816375679,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
114,False,"{'a': 0.1, 'e': 0.9999673929349794}",20,0,-93.83017761855635,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
115,False,"{'a': 0.1, 'e': 0.9999659374894155}",20,1,-77.25995470916997,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.9999644305296008}",20,0,-141.70214455306888,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
117,False,"{'a': 0.1, 'e': 0.9999628707}",30,19,-21.485680833276646,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.9999612566215041}",25,0,-247.4481607735102,"{0: 9, 1: 4, 2: 6, 3: 3, 4: 3}",0
119,False,"{'a': 0.1, 'e': 0.9999595868912277}",30,0,-124.21940433735028,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
120,False,"{'a': 0.1, 'e': 0.9999578600823045}",25,8,-59.326081420110974,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.1, 'e': 0.9999560747436858}",25,19,2.4101891210556428,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1, 'e': 0.9999542293999356}",25,0,-117.4577707209531,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
123,False,"{'a': 0.1, 'e': 0.9999523225510288}",20,0,-32.794331738638334,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
124,False,"{'a': 0.1, 'e': 0.9999503526721468}",25,0,-141.19034267332694,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
125,False,"{'a': 0.1, 'e': 0.9999483182134753}",35,0,-91.75929836256059,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
126,False,"{'a': 0.1, 'e': 0.9999462176}",25,0,-87.35881297883824,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
127,False,"{'a': 0.1, 'e': 0.9999440492313045}",35,12,-53.98178710816197,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
128,False,"{'a': 0.1, 'e': 0.9999418114813663}",25,0,-84.21496414953162,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.9999395026983539}",25,0,-117.8636791796731,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
130,False,"{'a': 0.1, 'e': 0.9999371212044235}",20,0,-150.84069808859135,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
131,False,"{'a': 0.1, 'e': 0.9999346652955156}",20,0,-89.9595503568975,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
132,False,"{'a': 0.1, 'e': 0.9999321332411523}",25,0,-159.52528421049644,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
133,False,"{'a': 0.1, 'e': 0.9999295232842335}",30,0,-145.21734528669347,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
134,False,"{'a': 0.1, 'e': 0.9999268336408339}",30,0,-97.25757376363785,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
135,False,"{'a': 0.1, 'e': 0.9999240625}",30,0,-132.55110652940724,"{0: 16, 1: 3, 2: 8, 3: 3, 4: 0}",0
